label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,-15795,-13946,-8644,-16389,-15879,-16103,-15744,-22114,10546,12359,919,-4742,-10019,-3360,0,0,0,0,0,0,0,0,0,0
2,-9097,-11269,-15773,-17503,-15284,-4017,-23994,12824,14771,-2767,-10096,-12236,-2331,-19583,0,0,0,0,0,0,0,0,0,0
2,-15440,-24411,-3326,-15397,-13908,-16242,-19681,-25827,-12581,22534,-40,-4443,-4142,-10239,0,0,0,0,0,0,0,0,0,0
2,-12145,-10922,-13158,-17089,-17830,-26027,-21746,9311,25950,6097,-11135,-6782,-21040,-14156,0,0,0,0,0,0,0,0,0,0
2,-16219,-18088,-9306,-25939,-19111,-27474,-13381,-341,-7747,1645,-17490,-9821,-23624,-3846,0,0,0,0,0,0,0,0,0,0
2,-14352,-16349,-10141,-13843,-23911,-8691,-12417,-3013,990,-8781,-1723,-9904,6799,-6374,0,0,0,0,0,0,0,0,0,0
2,-16889,-18403,-8877,-7569,-18315,-19932,-20299,-2734,-5701,672,-8831,-8212,-7563,-14594,0,0,0,0,0,0,0,0,0,0
2,-40718,-24255,-12415,-23483,-17699,-15991,-22095,-40288,-22945,2390,-13791,-7900,-7226,-10197,0,0,0,0,0,0,0,0,0,0
2,-17248,-12038,-799,-9030,-21148,-10881,-19503,-10105,-4793,24772,13651,-10338,-3279,-12189,0,0,0,0,0,0,0,0,0,0
2,-15807,-16916,-10716,-19522,-28690,-16974,-19352,5631,-12661,616,-10835,-24248,-9418,-10140,0,0,0,0,0,0,0,0,0,0
2,-13460,-32846,-25489,-17223,-16049,-14620,-19704,-8875,-32751,-19080,-2241,-5190,-6059,-9180,0,0,0,0,0,0,0,0,0,0
2,-24853,-27875,-39159,-14621,-17138,-15216,-14051,-23831,-30179,-41157,-5875,-13149,-4753,-6686,0,0,0,0,0,0,0,0,0,0
2,-11895,-13383,-21807,-15734,-15404,-20766,-18045,9065,1873,-17065,-7501,-9199,-7013,-8337,0,0,0,0,0,0,0,0,0,0
2,-20542,-17796,-14365,-11389,-17143,-25498,-15095,-16917,-2632,8866,-1816,-4271,-11548,2927,0,0,0,0,0,0,0,0,0,0
2,-15964,-13542,-2904,-11330,-17542,-14030,-14912,4053,6148,-8565,-10053,-15374,-2105,-7755,0,0,0,0,0,0,0,0,0,0
3,-11282,7859,-23502,-16782,-16664,-18076,-16194,-14455,-10498,-2686,-388,-9313,-7438,-2396,0,0,0,0,0,0,0,0,0,0
3,-1690,4748,-13262,-14575,-15353,-26886,-15906,-4399,2431,-14421,-8276,-4284,-21219,-4840,0,0,0,0,0,0,0,0,0,0
3,-21284,-20634,-24331,-27525,-20305,-14421,-17814,-9856,-5646,-12974,-14126,-8064,-7769,-6325,0,0,0,0,0,0,0,0,0,0
3,-7471,-21740,-20461,-24689,-16136,-23531,-16475,-8121,-9073,-10729,-17012,-906,-7471,-9492,0,0,0,0,0,0,0,0,0,0
3,-18224,-23124,-18325,-19370,-22931,-19151,-21767,-10554,-10042,-18725,-9975,-15816,-8865,-8918,0,0,0,0,0,0,0,0,0,0
3,-6756,-25732,-27394,-11895,-18551,-22351,-16949,-12295,-11577,-14045,-541,-3649,-8270,-10000,0,0,0,0,0,0,0,0,0,0
3,-19521,-15490,-12118,-12873,-11448,-19494,-6821,-5750,-634,2105,3522,-8088,-4034,6652,0,0,0,0,0,0,0,0,0,0
3,-16189,-14606,-9542,-27280,-19319,-19715,-20661,-13189,-9741,2191,-20164,-6665,-16792,-8362,0,0,0,0,0,0,0,0,0,0
3,-15335,-18926,-22818,-22432,-18285,-23646,-26740,-22340,-7466,-2689,-10777,-13590,-13997,-19419,0,0,0,0,0,0,0,0,0,0
3,-19298,-13946,-14409,-20596,-18966,-20477,-20700,-22236,-25781,-5378,-15359,-13705,-15360,-12181,0,0,0,0,0,0,0,0,0,0
3,-4614,-13881,-23064,-23300,-19513,-21318,-19617,-4350,4739,-20083,-22079,-7774,-13114,-7127,0,0,0,0,0,0,0,0,0,0
3,-15968,-12891,-1405,-23208,-23969,-20068,-18659,9194,1589,13333,-17574,-13618,-16613,-9497,0,0,0,0,0,0,0,0,0,0
3,-11006,3316,-18858,-33216,-16367,-17309,-20533,-19533,5754,-20686,-29908,-8634,-6643,-15111,0,0,0,0,0,0,0,0,0,0
3,-14667,-13960,-4091,-14387,-17165,-20177,-19152,-17695,985,-19,-7049,-4770,-7995,-12627,0,0,0,0,0,0,0,0,0,0
3,-34875,-20263,-25529,-22337,-20818,-9802,-18008,-20403,-10369,-13436,-10943,-17617,-3339,-9439,0,0,0,0,0,0,0,0,0,0
3,-25331,-14490,-14908,-19876,-23391,-21789,-18978,-19554,-8105,-381,-8606,-10260,-11523,-7629,0,0,0,0,0,0,0,0,0,0
